7J0|Japan (Shin'etsu), Guest Operators
GW#% GC#% MC#% MW#% 2W#% 2C#% 2X#% 2Y#%|Wales, Special or Contest Station
MW0[A-Z]%%|Wales, Full License, originally issued as Class A License
MW1[A-Z]%%|Wales, Full License, originally issued as Class B License
MW5[A-Z]%%|Wales, Full License, originally issued as Class A/B License
GW2%[A-Z]|Wales, Full License (originally issued 1920 - 1939)
GW3%[A-Z]|Wales, Full License (originally issued 1937 - 1938)
GW4%[A-Z]|Wales, Full License (originally issued 1938 - 1939)
GW5%[A-Z]|Wales, Full License (originally issued 1921 - 1939)
GW6%[A-Z]|Wales, Full License (originally issued 1921 - 1939)
GW8%[A-Z]|Wales, Full License (originally issued 1936 - 1937)
GW0[A-Z]%% GW0[A-Z]%%/A|Wales, Full License, originally issued as Class A License 1986 - 1996
GW1[A-Z]%% GW1[A-Z]%%/A|Wales, Full License, originally issued as Class B (VHF) License 1983 - 1988
GW2[A-Z]%% GW2[A-Z]%%/A|Wales, Full License, originally issued as "Artificial Aerial" License 1920 - 1939
GW3[A-Z]%% GW3[A-Z]%%/A|Wales, Full License, originally issued as Class A License 1946 - 1971
GW4[A-Z]%% GW4[A-Z]%%/A|Wales, Full License, originally issued as Class A License 1971 - 1985
GW5[A-Z]%% GW5[A-Z]%%/A|Wales, Guest Operators, reciprocal ham radio License
GW6[A-Z]%% GW6[A-Z]%%/A|Wales, Full License, originally issued as Class B (VHF) License 1981 - 1983
GW7[A-Z]%% GW7[A-Z]%%/A|Wales, Full License, originally issued as Class B (VHF) License 1989 - 1996
GW8[A-Z]%% GW8[A-Z]%%/A|Wales, Full License, originally issued as Class B (VHF) License 1964 - 1981
GB## GB[0-9] MB[0-9]|United Kingdom, Special Station
GB3%%|United Kingdom, Repeaters
GB3[A-Z]%%|United Kingdom, Beacons
GB7[A-Z]%|United Kingdom, Data repeaters
GB7[A-Z]%%|United Kingdom, Data mailboxes
ON|Belgium
ON1%%|Belgium, Technician
ON1[A-D]%%|Belgium, Technician, Flemish
ON1[K-M]%%|Belgium, Technician, French or German
ON2[A-C]%%|Belgium, Novice VHF, Flemish
ON2[K-M]%%|Belgium, Novice VHF, French or German
ON3[A-C]%%|Belgium, Basic license, Flemish
ON3[K-M]%%|Belgium, Basic license, French or German
ON4%% ON[5-7]|Belgium, HF Class
ON4[A-D]%%|Belgium, HF Class, Flemish
ON4[K-M]%%|Belgium, HF Class, French or German
ON8%%|Belgium, Guest Operators
ON9A%%|Belgium, Novice VHF, Guest Operators
ON9B%%|Belgium, Technician, Guest Operators
ON9C%%|Belgium, HF Class, Guest Operators
OO# OP# OQ# OR# OS# OT# ON## ON#%%%%|Belgium, Special & Club Station
OT#% O[P-S]#%|Belgium, Contest Station
RA UA|Russia (European)
RA1 UA1|Russia (European), Northwest Federal Territories
RA2 RA3 RA5 UA2 UA3 UA5|Russia (European), Central Federal Territories
RA4 UA4|Russia (European), Privolzhye Federal Territories
RA6 RA7 UA6 UA7|Russia (European), South Federal Territories
RA8 RA9 UA8 UA9|Russia (Asiatic), Ural and Siberia Federal Territories Federal Territories
RA0 UA0|Russia (Asiatic), Far East Federal Territories
U30 UA30|Russia (European), Special Station
E[KMNORU-Z][1346] 4L[1346]|Russia (European)
EK0K EK0AK EK0AQ EK0AK%|Russia (Asiatic), Chukotskiy AO (CK), Polar Station
EK0|Russia (Asiatic)
EK9 EM9 EN9 EO9 ER9 EU9|Russia (Asiatic)
EM0 EN0 EO0 ER0|Russia (Asiatic)
EN[1346] EO[1346] ER[1346] EU[1346]|Russia (European)
EO50P RG1[BIK] RY6A US[1346] U[UX][1346]|Russia (European)
ES[1346]|Russia (European)
EU0 EV0 EW0|Russia (Asiatic)
EV[1346] EW[1346] EX[1346] EY[1346] EZ[1346]|Russia (European)
EV9 EW9 EX9 EY9 EZ9|Russia (Asiatic)
EX0%% EY0%% EZ0%%|Russia (Asiatic)
EX8T|Russia (Asiatic)
EX8V|Russia (Asiatic)
LY[13467]|Russia (European)
R[AEKNSUVWXZ]0A U[B-I]0A|Russia (Asiatic), Krasnoyarskiy kray (KK)
R[AEKNSUVWXZ]0A[W-Z]%|Russia (Asiatic), Krasnoyarskiy kray (KK), Club Station
R[AEKNSUVWXZ]0B|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM)
R[AEKNSUVWXZ]0B[W-Z]%|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM), Club Station
R[AEKNSUVWXZ]0C|Russia (Asiatic), Khabarovskiy kray (HK)
R[AEKNSUVWXZ]0C[W-Z]%|Russia (Asiatic), Khabarovskiy kray (HK), Club Station
R[AEKNSUVWXZ]0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA)
R[AEKNSUVWXZ]0D[W-Z]%|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), Club Station
R[AEKNSUVWXZ]0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL)
R[AEKNSUVWXZ]0[E-G][W-Z]%|Russia (Asiatic), Sakhalinskaya oblast' (SL), Club Station
R[AEKNSUVWXZ]0H|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW)
R[AEKNSUVWXZ]0H[W-Z]%|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW), Club Station
R[AEKNSUVWXZ]0I|Russia (Asiatic), Magadanskaya oblast' (MG)
R[AEKNSUVWXZ]0I[W-Z]%|Russia (Asiatic), Magadanskaya oblast' (MG), Club Station
R[AEKNSUVWXZ]0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM)
R[AEKNSUVWXZ]0[GJ][W-Z]%|Russia (Asiatic), Amurskaya oblast' (AM), Club Station
R[AEKNSUVWXZ]0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK)
R[AEKNSUVWXZ]0K[W-Z]%|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), Club Station
R[AEKNSUVWXZ]0[L-N]|Russia (Asiatic), Primorskiy kray (PK)
R[AEKNSUVWXZ]0[L-N][W-Z]%|Russia (Asiatic), Primorskiy kray (PK), Club Station
R[AEKNSUVWXZ]0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU)
R[AEKNSUVWXZ]0[O-P][W-Z]%|Russia (Asiatic), Respublika Buryatiya (BU), Club Station
R[AEKNSUVWXZ]0[Q-R]|Russia (Asiatic), Respublika Sakha (Saha) (YA)
R[AEKNSUVWXZ]0[Q-R][W-Z]%|Russia (Asiatic), Respublika Sakha (Saha) (YA), Club Station
R[AEKNSUVWXZ]0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR)
R[AEKNSUVWXZ]0[S-T][W-Z]%|Russia (Asiatic), Irkutskaya oblast' (IR), Club Station
R[AEKNSUVWXZ]0[U-V]|Russia (Asiatic), Chitinskaya oblast' (CT)
R[AEKNSUVWXZ]0[U-V][W-Z]%|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) Club Station
R[AEKNSUVWXZ]0W|Russia (Asiatic), Respublika Khakasiya (HA)
R[AEKNSUVWXZ]0W[W-Z]%|Russia (Asiatic), Respublika Khakasiya (HA), Club Station
R[AEKNSUVWXZ]0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ)
R[AEKNSUVWXZ]0X[W-Z]%|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), Club Station
R[AEKNSUVWXZ]0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU)
R[AEKNSUVWXZ]0Y[W-Z]%|Russia (Asiatic), Respublika Tyva (Tuva) (TU), Club Station
R[AEKNSUVWXZ]0Z|Russia (Asiatic), Kamchatskaya oblast' (KT)
R[AEKNSUVWXZ]0Z[W-Z]%|Russia (Asiatic), Kamchatskaya oblast' (KT), Club Station
R[AEKNSUVWXZ]1[ABDF-JLM]|Russia (European), Gorod Leningrad (SP)
R[AEKNSUVWXZ]1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP)
R[AEKNSUVWXZ]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Leningrad (SP), Club Station
R[AEKNSUVWXZ]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Sankt-Peterburg (SP), Club Station
R[AEKNSUVWXZ]1[C-G]|Russia (European), Leningradskaya oblast' (LO)
R[AEKNSUVWXZ]1[C-G][W-Z]%|Russia (European), Leningradskaya oblast' (LO), Club Station
R[AEKNSUVWXZ]1N|Russia (European), Respublika Kareliya (KL)
R[AEKNSUVWXZ]1N[W-Z]%|Russia (European), Respublika Kareliya (KL), Club Station
R[AEKNSUVWXZ]1O|Russia (European), Arkhangelskaya oblast' (AR)
R[AEKNSUVWXZ]1O[W-Z]%|Russia (European), Arkhangelskaya oblast' (AR), Club Station
R[AEKNSUVWXZ]1P|Russia (European), Nenetsia Terr. (NO)
R[AEKNSUVWXZ]1P[W-Z]%|Russia (European), Nenetsia Terr. (NO), Club Station
R[AEKNSUVWXZ]1[Q-S]|Russia (European), Vologodskaya oblast' (VO)
R[AEKNSUVWXZ]1[Q-S][W-Z]%|Russia (European), Vologodskaya oblast' (VO), Club Station
R[AEKNSUVWXZ]1[T-U]|Russia (European), Novgorodskaya oblast' (NV)
R[AEKNSUVWXZ]1[T-U][W-Z]%|Russia (European), Novgorodskaya oblast' (NV), Club Station
R[AEKNSUVWXZ]1[W-X]|Russia (European), Pskovskaya oblast' (PS)
R[AEKNSUVWXZ]1[W-X][W-Z]%|Russia (European), Pskovskaya oblast' (PS), Club Station
R[AEKNSUVWXZ]1[Y-Z]|Russia (European), Murmanskaya oblast' (MU)
R[AEKNSUVWXZ]1[Y-Z][W-Z]%|Russia (European), Murmanskaya oblast' (MU), Club Station
R[AEKNSUVWXZ]3[A-BCFH]|Russia (European), Gorod Moskva (MA)
R[AEKNSUVWXZ]3[A-BCFH][W-Z]%|Russia (European), Gorod Moskva (MA), Club Station
R[AEKNSUVWXZ]3D|Russia (European), Moskovskaya oblast' (MO)
R[AEKNSUVWXZ]3D[W-Z]%|Russia (European), Moskovskaya oblast' (MO), Club Station
R[AEKNSUVWXZ]3E|Russia (European), Orlovskaya oblast' (OR)
R[AEKNSUVWXZ]3E[W-Z]%|Russia (European), Orlovskaya oblast' (OR), Club Station
R[AEKNSUVWXZ]3G|Russia (European), Lipetskaya oblast' (LP)
R[AEKNSUVWXZ]3G[W-Z]%|Russia (European), Lipetskaya oblast' (LP), Club Station
R[AEKNSUVWXZ]3[I-J]|Russia (European), Tverskaya oblast' (TV)
R[AEKNSUVWXZ]3[I-J][W-Z]%|Russia (European), Tverskaya oblast' (TV), Club Station
R[AEKNSUVWXZ]3L|Russia (European), Smolenskaya oblast' (SM)
R[AEKNSUVWXZ]3L[W-Z]%|Russia (European), Smolenskaya oblast' (SM), Club Station
R[AEKNSUVWXZ]3M|Russia (European), Yaroslavskaya oblast' (YR)
R[AEKNSUVWXZ]3M[W-Z]%|Russia (European), Yaroslavskaya oblast' (YR), Club Station
R[AEKNSUVWXZ]3[N-O]|Russia (European), Kostromskaya oblast' (KS)
R[AEKNSUVWXZ]3[N-O][W-Z]%|Russia (European), Kostromskaya oblast' (KS), Club Station
R[AEKNSUVWXZ]3P|Russia (European), Tulskaya oblast' (TL)
R[AEKNSUVWXZ]3P[W-Z]%|Russia (European), Tul'skaya oblast' (TL), Club Station
R[AEKNSUVWXZ]3Q|Russia (European), Voronezhskaya oblast' (VR)
R[AEKNSUVWXZ]3Q[W-Z]%|Russia (European), Voronezhskaya oblast' (VR), Club Station
R[AEKNSUVWXZ]3R|Russia (European), Tambovskaya oblast' (TB)
R[AEKNSUVWXZ]3R[W-Z]%|Russia (European), Tambovskaya oblast' (TB), Club Station
R[AEKNSUVWXZ]3S|Russia (European), Ryazanskaya oblast' (RA)
R[AEKNSUVWXZ]3S[W-Z]%|Russia (European), Ryazanskaya oblast' (RA), Club Station
R[AEKNSUVWXZ]3T|Russia (European), Nizhegorodskaya oblast' (NN)
R[AEKNSUVWXZ]3T[W-Z]%|Russia (European), Nizhegorodskaya oblast' (NN), Club Station
R[AEKNSUVWXZ]3U|Russia (European), Ivanovskaya oblast' (IV)
R[AEKNSUVWXZ]3U[W-Z]%|Russia (European), Ivanovskaya oblast' (IV), Club Station
R[AEKNSUVWXZ]3V|Russia (European), Vladimirskaya oblast' (VL)
R[AEKNSUVWXZ]3V[W-Z]%|Russia (European), Vladimirskaya oblast' (VL), Club Station
R[AEKNSUVWXZ]3W|Russia (European), Kurskaya oblast' (KU)
R[AEKNSUVWXZ]3W[W-Z]%|Russia (European), Kurskaya oblast' (KU), Club Station
R[AEKNSUVWXZ]3X|Russia (European), Kaluzhskaya oblast' (KG)
R[AEKNSUVWXZ]3X[W-Z]%|Russia (European), Kaluzhskaya oblast' (KG), Club Station
R[AEKNSUVWXZ]3Y|Russia (European), Bryanskaya oblast' (BR)
R[AEKNSUVWXZ]3Y[W-Z]%|Russia (European), Bryanskaya oblast' (BR), Club Station
R[AEKNSUVWXZ]3Z|Russia (European), Belgorodskaya oblast' (BO)
R[AEKNSUVWXZ]3Z[W-Z]%|Russia (European), Belgorodskaya oblast' (BO), Club Station
R[AEKNSUVWXZ]4[A-B]|Russia (European), Volgogradskaya oblast' (VG)
R[AEKNSUVWXZ]4[A-B][W-Z]%|Russia (European), Volgogradskaya oblast' (VG), Club Station
R[AEKNSUVWXZ]4[C-D]|Russia (European), Saratovskaya oblast' (SA)
R[AEKNSUVWXZ]4[C-D][W-Z]%|Russia (European), Saratovskaya oblast' (SA), Club Station
R[AEKNSUVWXZ]4F|Russia (European), Penzenskaya oblast' (PE)
R[AEKNSUVWXZ]4F[W-Z]%|Russia (European), Penzenskaya oblast' (PE), Club Station
R[AEKNSUVWXZ]4[H-J]|Russia (European), Samarskaya oblast' (SR)
R[AEKNSUVWXZ]4[H-J][W-Z]%|Russia (European), Samarskaya oblast' (SR), Club Station
R[AEKNSUVWXZ]4[L-M]|Russia (European), Ul'yanovskaya oblast' (UL)
R[AEKNSUVWXZ]4[L-M][W-Z]%|Russia (European), Ulyanovskaya oblast' (UL), Club Station
R[AEKNSUVWXZ]4[N-O]|Russia (European), Kirovskaya oblast' (KI) (Vyatka)
R[AEKNSUVWXZ]4[N-O][W-Z]%|Russia (European), Kirovskaya oblast' (KI) (Vyatka), Club Station
R[AEKNSUVWXZ]4[P-R]|Russia (European), Respublika Tatarstan (TA)
R[AEKNSUVWXZ]4[P-R][W-Z]%|Russia (European), Respublika Tatarstan (TA), Club Station
R[AEKNSUVWXZ]4[S-T]|Russia (European), Respublika Mariy El (MR)
R[AEKNSUVWXZ]4[S-T][W-Z]%|Russia (European), Respublika Mariy El (MR), Club Station
R[AEKNSUVWXZ]4U|Russia (European), Respublika Mordoviya (MD)
R[AEKNSUVWXZ]4U[W-Z]%|Russia (European), Respublika Mordoviya (MD), Club Station
R[AEKNSUVWXZ]4W|Russia (European), Respublika Udmurtiya (UD)
R[AEKNSUVWXZ]4W[W-Z]%|Russia (European), Respublika Udmurtiya (UD), Club Station
R[AEKNSUVWXZ]4[Y-Z]|Russia (European), Respublika Chuvashiya (CU)
R[AEKNSUVWXZ]4[Y-Z][W-Z]%|Russia (European), Respublika Chuvashiya (CU), Club Station
R[AEKNSUVWXZ]6[A-D]|Russia (European), Krasnodarskiy kray (KR)
R[AEKNSUVWXZ]6[A-D][W-Z]%|Russia (European), Krasnodarskiy kray (KR), Club Station
R[AEKNSUVWXZ]6E|Russia (European), Respublika Karachayevo Cherkeskiya (KC)
R[AEKNSUVWXZ]6E[W-Z]%|Russia (European), Respublika Karachayevo Cherkeskiya (KC), Club Station
R[AEKNSUVWXZ]6[F-H]|Russia (European), Stavropolskiy kray (ST)
R[AEKNSUVWXZ]6[F-H][W-Z]%|Russia (European), Stavropolskiy kray (ST), Club Station
R[AEKNSUVWXZ]6I|Russia (European), Respublika Kalmykiya (KM)
R[AEKNSUVWXZ]6I[W-Z]%|Russia (European), Respublika Kalmykiya (KM), Club Station
R[AEKNSUVWXZ]6J|Russia (European), Respublika Severnaya Osetiya Alaniya (SO)
R[AEKNSUVWXZ]6J[W-Z]%|Russia (European), Respublika Severnaya Osetiya Alaniya (SO), Club Station
R[AEKNSUVWXZ]6[L-O]|Russia (European), Rostovskaya oblast' (RO)
R[AEKNSUVWXZ]6[L-O][W-Z]%|Russia (European), Rostovskaya oblast' (RO), Club Station
R[AEKNSUVWXZ]6P|Russia (European), Respublika Chechnya (CN)
R[AEKNSUVWXZ]6P[W-Z]%|Russia (European), Respublika Chechnya (CN), Club Station
R[AEKNSUVWXZ]6Q|Russia (European), Respublika Ingushetiya (IN), Club Station
R[AEKNSUVWXZ]6Q[W-Z]%|Russia (European), Respublika Ingushetiya (IN), Club Station
R[AEKNSUVWXZ]6[U-V]|Russia (European), Astrakhanskaya oblast' (AO)
R[AEKNSUVWXZ]6[U-V][W-Z]%|Russia (European), Astrakhanskaya oblast, Club Station (AO)
R[AEKNSUVWXZ]6W|Russia (European), Respublika Dagestan (DA)
R[AEKNSUVWXZ]6W[W-Z]%|Russia (European), Respublika Dagestan (DA), Club Station
R[AEKNSUVWXZ]6X|Russia (European), Respublika Kabardino Balkariya (KB)
R[AEKNSUVWXZ]6X[W-Z]%|Russia (European), Respublika Kabardino Balkariya (KB), Club Station
R[AEKNSUVWXZ]6Y|Russia (European), Respublika Adygeya (AD)
R[AEKNSUVWXZ]6Y[W-Z]%|Russia (European), Respublika Adygeya (AD), Club Station
R[AEKNSUVWXZ]8T|Russia (Asiatic), Ust'Ordynskiy Buryatskiy avtonomnyy okrug (UO)
R[AEKNSUVWXZ]8T[W-Z]%|Russia (Asiatic), Ust Ordynskiy Buryatskiy avtonomnyy okrug (UO), Club Station
R[AEKNSUVWXZ]8V|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB)
R[AEKNSUVWXZ]8V[W-Z]%|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB), Club Station
R[AEKNSUVWXZ]9[A-B]|Russia (Asiatic), Chelyabinskaya oblast' (CB)
R[AEKNSUVWXZ]9[A-B][W-Z]%|Russia (Asiatic), Chelyabinskaya oblast' (CB), Club Station
R[AEKNSUVWXZ]9[C-E]|Russia (Asiatic), Sverdlovskaya oblast' (SV)
R[AEKNSUVWXZ]9[C-E][W-Z]%|Russia (Asiatic), Sverdlovskaya oblast' (SV), Club Station
R[AEKNSUVWXZ]9F|Russia (Asiatic), Permskaya oblast' (PM)
R[AEKNSUVWXZ]9F[W-Z]%|Russia (Asiatic), Permskaya oblast' (PM), Club Station
R[AEKNSUVWXZ]9G|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP)
R[AEKNSUVWXZ]9G[W-Z]%|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP), Club Station
R[AEKNSUVWXZ]9[H-I]|Russia (Asiatic), Tomskaya oblast' (TO)
R[AEKNSUVWXZ]9[H-I][W-Z]%|Russia (Asiatic), Tomskaya oblast' (TO), Club Station
R[AEKNSUVWXZ]9J|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM)
R[AEKNSUVWXZ]9J[W-Z]%|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM), Club Station
R[AEKNSUVWXZ]9K|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN)
R[AEKNSUVWXZ]9K[W-Z]%|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN), Club Station
R[AEKNSUVWXZ]9L|Russia (Asiatic), Tyumenskaya oblast' (TN)
R[AEKNSUVWXZ]9L[W-Z]%|Russia (Asiatic), Tyumenskaya oblast' (TN), Club Station
R[AEKNSUVWXZ]9[M-N]|Russia (Asiatic), Omskaya oblast' (OM)
R[AEKNSUVWXZ]9[M-N][W-Z]%|Russia (Asiatic), Omskaya oblast' (OM), Club Station
R[AEKNSUVWXZ]9[O-P]|Russia (Asiatic), Novosibirskaya oblast' (NS)
R[AEKNSUVWXZ]9[O-P][W-Z]%|Russia (Asiatic), Novosibirskaya oblast' (NS), Club Station
R[AEKNSUVWXZ]9[Q-R]|Russia (Asiatic), Kurganskaya oblast' (KN)
R[AEKNSUVWXZ]9[Q-R][W-Z]%|Russia (Asiatic), Kurganskaya oblast' (KN), Club Station
R[AEKNSUVWXZ]9[S-T]|Russia (Asiatic), Orenburgskaya oblast' (OB)
R[AEKNSUVWXZ]9[S-T][W-Z]%|Russia (Asiatic), Orenburgskaya oblast' (OB), Club Station
R[AEKNSUVWXZ]9[U-V]|Russia (Asiatic), Kemerovskaya oblast' (KE)
R[AEKNSUVWXZ]9[U-V][W-Z]%|Russia (Asiatic), Kemerovskaya oblast' (KE), Club Station
R[AEKNSUVWXZ]9W|Russia (Asiatic), Respublika Bashkortostan (BA)
R[AEKNSUVWXZ]9W[W-Z]%|Russia (Asiatic), Respublika Bashkortostan (BA), Club Station
R[AEKNSUVWXZ]9X|Russia (Asiatic), Respublika Komi (KO)
R[AEKNSUVWXZ]9X[W-Z]%|Russia (Asiatic), Respublika Komi (KO), Club Station
R[AEKNSUVWXZ]9Y|Russia (Asiatic), Altayskiy kray (AL)
R[AEKNSUVWXZ]9Y[W-Z]%|Russia (Asiatic), Altayskiy kray (AL), Club Station
R[AEKNSUVWXZ]9Z|Russia (Asiatic), Respublika Altay (GA)
R[AEKNSUVWXZ]9Z[W-Z]%|Russia (Asiatic), Respublika Altay (GA), Club Station
R[A-Z]0|Russia (Asiatic), Far East, Siberia
R[A-Z]1|Russia (European), Nothwest
R[A-Z]3 RB3 RC3 RD3 RE3 RF3|Russia (European), Central
R[A-Z]4 RB4 RC4 RD4 RE4 RF4|Russia (European), South
R[A-Z][67] RB6 RC6 RD6 RE6 RF6|Russia (European), South, Black Sea Region
R[A-Z]8|Russia (Asiatic), Far East, Baikal Region
R[A-Z]9|Russia (Asiatic), Southwest Siberia
RA2 R[D-Z]2|Kaliningrad (Koenigsberg)(KA) 
R[BCDFGHIJLMOPQRTY]0A U[B-I]0A|Russia (Asiatic), Krasnoyarskiy kray (KK)
R[BCDFGHIJLMOPQRTY]0A[W-Z]%|Russia (Asiatic), Krasnoyarskiy kray (KK), Club Station
R[BCDFGHIJLMOPQRTY]0B|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM)
R[BCDFGHIJLMOPQRTY]0B[W-Z]%|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM), Club Station
R[BCDFGHIJLMOPQRTY]0C|Russia (Asiatic), Khabarovskiy kray (HK)
R[BCDFGHIJLMOPQRTY]0C[W-Z]%|Russia (Asiatic), Khabarovskiy kray (HK), Club Station
R[BCDFGHIJLMOPQRTY]0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA)
R[BCDFGHIJLMOPQRTY]0D[W-Z]%|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), Club Station
R[BCDFGHIJLMOPQRTY]0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL)
R[BCDFGHIJLMOPQRTY]0[E-G][W-Z]%|Russia (Asiatic), Sakhalinskaya oblast' (SL), Club Station
R[BCDFGHIJLMOPQRTY]0H|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW)
R[BCDFGHIJLMOPQRTY]0H[W-Z]%|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW), Club Station
R[BCDFGHIJLMOPQRTY]0I|Russia (Asiatic), Magadanskaya oblast' (MG)
R[BCDFGHIJLMOPQRTY]0I[W-Z]%|Russia (Asiatic), Magadanskaya oblast' (MG), Club Station
R[BCDFGHIJLMOPQRTY]0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM)
R[BCDFGHIJLMOPQRTY]0[GJ][W-Z]%|Russia (Asiatic), Amurskaya oblast' (AM), Club Station
R[BCDFGHIJLMOPQRTY]0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK)
R[BCDFGHIJLMOPQRTY]0K[W-Z]%|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), Club Station
R[BCDFGHIJLMOPQRTY]0[L-N]|Russia (Asiatic), Primorskiy kray (PK)
R[BCDFGHIJLMOPQRTY]0[L-N][W-Z]%|Russia (Asiatic), Primorskiy kray (PK), Club Station
R[BCDFGHIJLMOPQRTY]0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU)
R[BCDFGHIJLMOPQRTY]0[O-P][W-Z]%|Russia (Asiatic), Respublika Buryatiya (BU), Club Station
R[BCDFGHIJLMOPQRTY]0[Q-R]|Russia (Asiatic), Respublika Sakha (Saha) (YA)
R[BCDFGHIJLMOPQRTY]0[Q-R][W-Z]%|Russia (Asiatic), Respublika Sakha (Saha) (YA), Club Station
R[BCDFGHIJLMOPQRTY]0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR)
R[BCDFGHIJLMOPQRTY]0[S-T][W-Z]%|Russia (Asiatic), Irkutskaya oblast' (IR), Club Station
R[BCDFGHIJLMOPQRTY]0[U-V]|Russia (Asiatic), Chitinskaya oblast' (CT)
R[BCDFGHIJLMOPQRTY]0[U-V][W-Z]%|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) Club Station
R[BCDFGHIJLMOPQRTY]0W|Russia (Asiatic), Respublika Khakasiya (HA)
R[BCDFGHIJLMOPQRTY]0W[W-Z]%|Russia (Asiatic), Respublika Khakasiya (HA), Club Station
R[BCDFGHIJLMOPQRTY]0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ)
R[BCDFGHIJLMOPQRTY]0X[W-Z]%|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), Club Station
R[BCDFGHIJLMOPQRTY]0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU)
R[BCDFGHIJLMOPQRTY]0Y[W-Z]%|Russia (Asiatic), Respublika Tyva (Tuva) (TU), Club Station
R[BCDFGHIJLMOPQRTY]0Z|Russia (Asiatic), Kamchatskaya oblast' (KT)
R[BCDFGHIJLMOPQRTY]0Z[W-Z]%|Russia (Asiatic), Kamchatskaya oblast' (KT), Club Station
R[BCDFGHIJLMOPQRTY]1[ABDF-JLM]|Russia (European), Gorod Leningrad (SP)
R[BCDFGHIJLMOPQRTY]1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP)
R[BCDFGHIJLMOPQRTY]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Leningrad (SP), Club Station
R[BCDFGHIJLMOPQRTY]1[ABDF-JLM][W-Z]%|Russia (European), Gorod Sankt-Peterburg (SP), Club Station
R[BCDFGHIJLMOPQRTY]1[C-G]|Russia (European), Leningradskaya oblast' (LO)
R[BCDFGHIJLMOPQRTY]1C[W-Z]%|Russia (European), Leningradskaya oblast' (LO), Club Station
R[BCDFGHIJLMOPQRTY]1N|Russia (European), Respublika Kareliya (KL)
R[BCDFGHIJLMOPQRTY]1N[W-Z]%|Russia (European), Respublika Kareliya (KL), Club Station
R[BCDFGHIJLMOPQRTY]1O|Russia (European), Arkhangelskaya oblast' (AR)
R[BCDFGHIJLMOPQRTY]1O[W-Z]%|Russia (European), Arkhangelskaya oblast' (AR), Club Station
R[BCDFGHIJLMOPQRTY]1P|Russia (European), Nenetsia Terr. (NO)
R[BCDFGHIJLMOPQRTY]1P[W-Z]%|Russia (European), Nenetsia Terr. (NO), Club Station
R[BCDFGHIJLMOPQRTY]1[Q-S]|Russia (European), Vologodskaya oblast' (VO)
R[BCDFGHIJLMOPQRTY]1[Q-S][W-Z]%|Russia (European), Vologodskaya oblast' (VO), Club Station
R[BCDFGHIJLMOPQRTY]1[T-U]|Russia (European), Novgorodskaya oblast' (NV)
R[BCDFGHIJLMOPQRTY]1[T-U][W-Z]%|Russia (European), Novgorodskaya oblast' (NV), Club Station
